rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
4,RC,0.9183825969054342,5,1.1653205770372017,0.530938123752495,0,lagged,power,500,0.1
4,Oracle,,5,3.720453811454026,0.005988023952095809,1,lagged,power,500,0.1
4,DM,,5,0.4109717384093286,0.1996007984031936,0,lagged,power,500,0.1
4,cDM,,5,-0.043159828793230805,0.6307385229540918,0,lagged,power,500,0.1
4,SS,0.8803387034559552,5,0.7453123665889987,0.007984031936127744,1,lagged,power,500,0.1
5,RC,0.718429478511862,1,1.2676217420452027,0.01996007984031936,1,lagged,power,500,0.1
5,Oracle,,1,3.839342442382739,0.003992015968063872,1,lagged,power,500,0.1
5,DM,,1,0.056326454407396434,0.47904191616766467,0,lagged,power,500,0.1
5,cDM,,1,-0.07587061806616632,0.7405189620758483,0,lagged,power,500,0.1
5,SS,1.1919469047451376,1,-2.030452639709788,0.9600798403193613,0,lagged,power,500,0.1
5,RC,0.6299799079173366,2,-0.29524284577063653,0.4351297405189621,0,lagged,power,500,0.1
5,Oracle,,2,1.9916749259773578,0.02594810379241517,1,lagged,power,500,0.1
5,DM,,2,-0.44934881079694267,0.8682634730538922,0,lagged,power,500,0.1
5,cDM,,2,-0.13400392993668983,0.8842315369261478,0,lagged,power,500,0.1
5,SS,1.3193855622241917,2,-1.7907207460405643,0.9620758483033932,0,lagged,power,500,0.1
5,RC,0.5804220135514736,3,3.0507968591717955,0.00998003992015968,1,lagged,power,500,0.1
5,Oracle,,3,3.2490727020115004,0.005988023952095809,1,lagged,power,500,0.1
5,DM,,3,0.468521068657873,0.1497005988023952,0,lagged,power,500,0.1
5,cDM,,3,0.1657629307906091,0.10978043912175649,0,lagged,power,500,0.1
5,SS,1.2921292612867643,3,-1.794647292405336,0.908183632734531,0,lagged,power,500,0.1
5,RC,0.8837993553484278,4,3.2377335339547457,0.21956087824351297,0,lagged,power,500,0.1
5,Oracle,,4,6.363252414680078,0.001996007984031936,1,lagged,power,500,0.1
5,DM,,4,-0.0741698565035057,0.5828343313373253,0,lagged,power,500,0.1
5,cDM,,4,0.17526974589659672,0.05588822355289421,1,lagged,power,500,0.1
5,SS,1.5588371360074795,4,-1.6308352557110979,0.9940119760479041,0,lagged,power,500,0.1
5,RC,0.8768237420376488,5,0.7577926957599542,0.25349301397205587,0,lagged,power,500,0.1
5,Oracle,,5,2.897798481348423,0.013972055888223553,1,lagged,power,500,0.1
5,DM,,5,-0.42506253602360694,0.8842315369261478,0,lagged,power,500,0.1
5,cDM,,5,0.04204814721454828,0.3413173652694611,0,lagged,power,500,0.1
5,SS,1.1079611971764807,5,0.22865462635331618,0.23552894211576847,0,lagged,power,500,0.1
6,RC,0.6437507570014561,1,-0.46307945287791225,0.43912175648702595,0,lagged,power,500,0.1
6,Oracle,,1,0.9014959683441612,0.12974051896207583,0,lagged,power,500,0.1
6,DM,,1,-0.287804157506134,0.720558882235529,0,lagged,power,500,0.1
6,cDM,,1,-0.13097735375963762,0.8662674650698603,0,lagged,power,500,0.1
6,SS,0.9387769081271081,1,1.1273284198011708,0.500998003992016,0,lagged,power,500,0.1
6,RC,0.6124503448983126,2,-0.43425824930668827,0.3273453093812375,0,lagged,power,500,0.1
6,Oracle,,2,0.42792644269381286,0.015968063872255488,1,lagged,power,500,0.1
6,DM,,2,0.16577502254028567,0.3532934131736527,0,lagged,power,500,0.1
6,cDM,,2,0.027035235853661264,0.3992015968063872,0,lagged,power,500,0.1
